id,title,status,modules,tests,source
P0-001,绝对禁止直接改坏 `q4/w5_policy.py`。** 当前 W5 必须保留为 baseline；新增 `W5ProPolicy`，建议文件 `q4/w5pro_policy.py`。,code_and_test_candidate,w5_geometry.py;w5_policy.py;w5pro_future_cost.py;w5pro_hypothesis.py;w5pro_nbv.py;w5pro_scheduler.py;w5pro_spatial.py;w5pro_tasks.py,test_w5pro_checklist_contract.py,C:\Users\14535\.codex\attachments\fa9ea29d-0df4-476b-86de-f949de640405\pasted-text-1.txt
P0-002,保留当前选定几何参数。** 当前真正运行的是：,code_and_test_candidate,w5_geometry.py;w5pro_future_cost.py;w5pro_hypothesis.py;w5pro_nbv.py;w5pro_scheduler.py;w5pro_spatial.py;w5pro_tasks.py,test_w5pro_checklist_contract.py,C:\Users\14535\.codex\attachments\fa9ea29d-0df4-476b-86de-f949de640405\pasted-text-1.txt
P0-003,保留 25 点构造公式。** `w5_detection_points()` 不应因为 W5Pro 动态规划而改变。它仍是：,code_and_test_candidate,w5_geometry.py;w5pro_future_cost.py;w5pro_hypothesis.py;w5pro_nbv.py;w5pro_scheduler.py;w5pro_spatial.py;w5pro_tasks.py,test_w5pro_checklist_contract.py,C:\Users\14535\.codex\attachments\fa9ea29d-0df4-476b-86de-f949de640405\pasted-text-1.txt
P0-004,原 W5 几何测试必须全部继续通过。** 包括 25 点数目、解析 side interval、边界 angular gap、6 supplement lower bound、no-ground-truth-access 等。现有测试已经明确这些 invariant。,code_and_test_candidate,w5_geometry.py;w5pro_future_cost.py;w5pro_hypothesis.py;w5pro_nbv.py;w5pro_scheduler.py;w5pro_spatial.py;w5pro_tasks.py,test_w5pro_foundation.py,C:\Users\14535\.codex\attachments\fa9ea29d-0df4-476b-86de-f949de640405\pasted-text-1.txt
P0-005,建立 W5 baseline artifact。** 固定当前 7-case 数据：,code_and_test_candidate,w5_geometry.py;w5_policy.py;w5pro_future_cost.py;w5pro_hypothesis.py;w5pro_nbv.py;w5pro_scheduler.py;w5pro_spatial.py;w5pro_tasks.py,test_w5pro_checklist_contract.py,C:\Users\14535\.codex\attachments\fa9ea29d-0df4-476b-86de-f949de640405\pasted-text-1.txt
P0-006,所有 W5Pro benchmark 必须 same-seed paired。** 不允许用不同 seed 宣称提升。,code_and_test_candidate,w5_geometry.py;w5pro_future_cost.py;w5pro_hypothesis.py;w5pro_nbv.py;w5pro_scheduler.py;w5pro_spatial.py;w5pro_tasks.py,test_w5pro_checklist_contract.py,C:\Users\14535\.codex\attachments\fa9ea29d-0df4-476b-86de-f949de640405\pasted-text-1.txt
P0-007,增加总开关配置。**,code_and_test_candidate,w5_geometry.py;w5pro_future_cost.py;w5pro_hypothesis.py;w5pro_nbv.py;w5pro_scheduler.py;w5pro_spatial.py;w5pro_tasks.py,test_w5pro_checklist_contract.py,C:\Users\14535\.codex\attachments\fa9ea29d-0df4-476b-86de-f949de640405\pasted-text-1.txt
P0-008,建立 identity mode。** 所有开关关闭时：,code_and_test_candidate,w5_geometry.py;w5pro_config.py;w5pro_future_cost.py;w5pro_hypothesis.py;w5pro_nbv.py;w5pro_scheduler.py;w5pro_spatial.py;w5pro_tasks.py,test_w5pro_checklist_contract.py,C:\Users\14535\.codex\attachments\fa9ea29d-0df4-476b-86de-f949de640405\pasted-text-1.txt
P0-010,W5Pro 不要把所有东西塞进原 `Q4TargetState`。**,code_and_test_candidate,w5_geometry.py;w5pro_future_cost.py;w5pro_hypothesis.py;w5pro_nbv.py;w5pro_scheduler.py;w5pro_spatial.py;w5pro_tasks.py,test_w5pro_acceptance.py;test_w5pro_advanced.py;test_w5pro_backbone.py;test_w5pro_checklist_contract.py;test_w5pro_clear_route.py;test_w5pro_corridor.py;test_w5pro_diagnostics.py;test_w5pro_experiment_matrix.py;test_w5pro_feasible.py;test_w5pro_foundation.py;test_w5pro_hypothesis.py;test_w5pro_information.py;test_w5pro_metrics.py;test_w5pro_nbv.py;test_w5pro_planner.py;test_w5pro_rotation.py;test_w5pro_safety.py;test_w5pro_scheduler.py;test_w5pro_state_tasks.py;test_w5pro_tail_fallback.py;test_w5pro_triangle_certificate.py;test_w5pro_tspn.py,C:\Users\14535\.codex\attachments\fa9ea29d-0df4-476b-86de-f949de640405\pasted-text-1.txt
P0-011,原 `ChannelStatus`/`SourceTrack` 仍是执行层权威。**,code_and_test_candidate,w5_geometry.py;w5pro_future_cost.py;w5pro_hypothesis.py;w5pro_nbv.py;w5pro_scheduler.py;w5pro_spatial.py;w5pro_tasks.py,test_w5pro_state_tasks.py,C:\Users\14535\.codex\attachments\fa9ea29d-0df4-476b-86de-f949de640405\pasted-text-1.txt
P0-012,`W5ProTargetState` 只补 planner 信息。**,code_and_test_candidate,w5_geometry.py;w5pro_future_cost.py;w5pro_hypothesis.py;w5pro_nbv.py;w5pro_planner.py;w5pro_scheduler.py;w5pro_spatial.py;w5pro_tasks.py,test_w5pro_state_tasks.py,C:\Users\14535\.codex\attachments\fa9ea29d-0df4-476b-86de-f949de640405\pasted-text-1.txt
P0-013,Directional hypothesis `H_c` 只用于：**,code_and_test_candidate,w5_geometry.py;w5pro_future_cost.py;w5pro_hypothesis.py;w5pro_nbv.py;w5pro_scheduler.py;w5pro_spatial.py;w5pro_tasks.py,test_w5pro_hypothesis.py,C:\Users\14535\.codex\attachments\fa9ea29d-0df4-476b-86de-f949de640405\pasted-text-1.txt
P0-014,禁止以下逻辑：**,code_and_test_candidate,w5_geometry.py;w5pro_future_cost.py;w5pro_hypothesis.py;w5pro_nbv.py;w5pro_scheduler.py;w5pro_spatial.py;w5pro_tasks.py,test_w5pro_checklist_contract.py,C:\Users\14535\.codex\attachments\fa9ea29d-0df4-476b-86de-f949de640405\pasted-text-1.txt
P0-015,H_c 不能直接触发 clear。**,code_and_test_candidate,w5_geometry.py;w5pro_clear.py;w5pro_future_cost.py;w5pro_hypothesis.py;w5pro_nbv.py;w5pro_scheduler.py;w5pro_spatial.py;w5pro_tasks.py,test_w5pro_checklist_contract.py,C:\Users\14535\.codex\attachments\fa9ea29d-0df4-476b-86de-f949de640405\pasted-text-1.txt
P0-016,clear 仍必须依赖原 localisation/MEC/near 物理条件。**,code_and_test_candidate,w5_geometry.py;w5pro_clear.py;w5pro_future_cost.py;w5pro_hypothesis.py;w5pro_nbv.py;w5pro_scheduler.py;w5pro_spatial.py;w5pro_tasks.py,test_w5pro_acceptance.py;test_w5pro_checklist_contract.py;test_w5pro_clear_route.py;test_w5pro_corridor.py;test_w5pro_information.py;test_w5pro_metrics.py;test_w5pro_planner.py;test_w5pro_safety.py;test_w5pro_scheduler.py;test_w5pro_state_tasks.py,C:\Users\14535\.codex\attachments\fa9ea29d-0df4-476b-86de-f949de640405\pasted-text-1.txt
P0-017,absence 的安全出口只能是：**,code_and_test_candidate,w5_geometry.py;w5pro_future_cost.py;w5pro_hypothesis.py;w5pro_nbv.py;w5pro_scheduler.py;w5pro_spatial.py;w5pro_tasks.py,test_w5pro_triangle_certificate.py,C:\Users\14535\.codex\attachments\fa9ea29d-0df4-476b-86de-f949de640405\pasted-text-1.txt
P0-020,新增 `q4/w5pro_hypothesis.py`。**,code_and_test_candidate,w5_geometry.py;w5pro_future_cost.py;w5pro_hypothesis.py;w5pro_nbv.py;w5pro_scheduler.py;w5pro_spatial.py;w5pro_tasks.py,test_w5pro_hypothesis.py,C:\Users\14535\.codex\attachments\fa9ea29d-0df4-476b-86de-f949de640405\pasted-text-1.txt
P0-021,迁移 `HypothesisGrid` 思想。**,code_and_test_candidate,w5_geometry.py;w5pro_future_cost.py;w5pro_hypothesis.py;w5pro_nbv.py;w5pro_scheduler.py;w5pro_spatial.py;w5pro_tasks.py,test_w5pro_hypothesis.py,C:\Users\14535\.codex\attachments\fa9ea29d-0df4-476b-86de-f949de640405\pasted-text-1.txt
